Ticker,Sector,Close,Change_1D_pct,Volume_Today,Avg_Vol_20D,Vol_Ratio
HEG,Capital Goods,538.65,-1.27,521393,760618,0.69
HBLENGINE,Capital Goods,804.4,1.06,1400410,1637052,0.86
HCLTECH,Information Technology,1161.8,-0.43,3367565,3394557,0.99
HDBFS,Financial Services,695.45,-0.7,242010,633160,0.38
HDFCAMC,Financial Services,2728.2,0.63,609867,946285,0.64
HDFCBANK,Financial Services,799.0,1.51,41485400,37966851,1.09
HDFCLIFE,Financial Services,591.3,1.63,2243128,2942118,0.76
HFCL,Telecommunication,199.63,5.0,26352941,48901902,0.54
HAVELLS,Consumer Durables,1194.4,-0.2,753426,901819,0.84
HEROMOTOCO,Automobile and Auto Components,5021.6,0.1,357123,538873,0.66
HEXT,Information Technology,493.0,-2.02,703498,607462,1.16
HSCL,Chemicals,690.3,-1.54,14204752,12415433,1.14
HINDALCO,Metals & Mining,1008.5,0.06,6184551,6717803,0.92
HAL,Capital Goods,4411.5,-1.1,851708,974894,0.87
HINDCOPPER,Metals & Mining,509.7,-1.07,2783454,3664904,0.76
HINDPETRO,Oil Gas & Consumable Fuels,401.6,-0.26,4367536,6383804,0.68
HINDUNILVR,Fast Moving Consumer Goods,2218.5,0.95,1120435,2252294,0.5
HINDZINC,Metals & Mining,571.45,-0.19,3963438,4172313,0.95
POWERINDIA,Capital Goods,36300.0,0.97,127655,195867,0.65
HOMEFIRST,Financial Services,1146.1,0.03,244754,217490,1.13
HONASA,Fast Moving Consumer Goods,406.5,1.26,1012901,5614883,0.18
HONAUT,Capital Goods,37170.0,2.17,6139,11638,0.53
HUDCO,Financial Services,211.55,-0.98,3831174,2029143,1.89
HYUNDAI,Automobile and Auto Components,1976.6,-0.01,555696,2040459,0.27
ICICIBANK,Financial Services,1342.3,0.41,13466934,16432708,0.82
ICICIGI,Financial Services,1839.0,2.71,539223,662559,0.81
ICICIAMC,Financial Services,3431.7,5.57,723538,537839,1.35
ICICIPRULI,Financial Services,522.1,3.66,2835951,1683719,1.68
IDBI,Financial Services,84.62,-6.35,61079280,21543676,2.84
IDFCFIRSTB,Financial Services,78.09,0.92,29772793,29346188,1.01
IFCI,Financial Services,82.31,-8.62,312338208,117742656,2.65
IIFL,Financial Services,529.2,-0.37,1824633,2776168,0.66
IRB,Construction,21.42,0.37,13755887,15833290,0.87
IRCON,Construction,139.18,-1.09,2241179,1889404,1.19
ITCHOTELS,Consumer Services,161.13,2.06,2898261,2660786,1.09
ITC,Fast Moving Consumer Goods,291.15,0.14,10399685,18464146,0.56
ITI,Telecommunication,311.15,1.62,1654507,852016,1.94
INDGN,Healthcare,518.6,0.52,129729,188929,0.69
INDIACEM,Construction Materials,383.7,-0.58,183197,159584,1.15
INDIAMART,Consumer Services,2137.7,2.28,240170,76070,3.16
