Ticker,Sector,PE_Ratio,EPS_TTM,Market_Cap_Cr,PB_Ratio,ROE_pct,Debt_Equity,Div_Yield,Revenue_Growth,Current_Ratio
ESCORTS,Capital Goods,22.159485,124.15,30270.0,2.446614,12.02,1.309,166.0,21.4,3.26
ETERNAL,Consumer Services,635.875,0.4,233847.0,7.5186973,1.19,14.826,0.0,196.5,2.768
EXIDEIND,Automobile and Auto Components,40.1393,10.05,34289.0,2.4682746,6.17,11.308,50.0,9.2,1.224
NYKAA,Consumer Services,382.21426,0.7,76613.0,54.017765,14.34,82.405,0.0,28.4,1.156
FEDERALBNK,Financial Services,17.158377,17.49,73955.0,1.8473945,11.73,,40.0,12.3,
FACT,Chemicals,,-0.61,56004.0,40.72558,,278.992,4.0,65.1,
FINCABLES,Capital Goods,21.828901,46.64,15571.0,2.7315776,12.33,0.314,80.0,22.4,8.417
FSL,Services,27.811518,9.55,18336.0,4.1861715,15.9,66.635,206.0,19.5,0.794
FIVESTAR,Financial Services,11.662642,37.26,12827.0,1.7346543,16.06,111.115,46.0,4.1,329.678
FORCEMOT,Automobile and Auto Components,17.913612,1037.87,24497.0,5.944462,33.51,,23.0,8.2,1.874
FORTIS,Healthcare,68.31155,13.77,71015.0,7.1764803,11.01,34.15,11.0,17.8,0.86
GAIL,Oil Gas & Consumable Fuels,14.519065,11.54,110165.0,1.249795,8.69,27.809,763.0,-2.4,0.849
GVT&D,Capital Goods,105.61669,48.16,130238.0,62.40568,55.26,0.892,20.0,42.0,1.333
GMRAIRPORT,Services,784.53845,0.13,107691.0,-42.88898,,,0.0,37.5,0.771
GABRIEL,Automobile and Auto Components,57.86773,17.54,14580.0,10.6684885,19.58,10.642,46.0,12.7,1.664
GALLANTT,Capital Goods,32.24129,20.1,15636.0,4.715766,,,14.0,,
GRSE,Capital Goods,44.423237,60.25,30660.0,11.674212,31.79,1.424,103.0,29.1,1.234
GICRE,Financial Services,7.045743,55.09,68097.0,0.6840166,10.69,,346.0,2.5,0.309
